year,Entity,depression_pct
1865,Lesotho,
1866,Lesotho,
1866,Lesotho,
1867,Lesotho,
1867,Lesotho,
1868,Lesotho,
1868,Lesotho,
1869,Lesotho,
1869,Lesotho,
1870,Lesotho,
1870,Lesotho,
1871,Lesotho,
1871,Lesotho,
1872,Lesotho,
1872,Lesotho,
1873,Lesotho,
1873,Lesotho,
1874,Lesotho,
1874,Lesotho,
1875,Lesotho,
1875,Lesotho,
1876,Lesotho,
1876,Lesotho,
1877,Lesotho,
1877,Lesotho,
1878,Lesotho,
1878,Lesotho,
1879,Lesotho,
1879,Lesotho,
1880,Lesotho,
1880,Lesotho,
1881,Lesotho,
1881,Lesotho,
1882,Lesotho,
1882,Lesotho,
1883,Lesotho,
1883,Lesotho,
1884,Lesotho,
1884,Lesotho,
1885,Lesotho,
1885,Lesotho,
1886,Lesotho,
1886,Lesotho,
1887,Lesotho,
1887,Lesotho,
1888,Lesotho,
1888,Lesotho,
1889,Lesotho,
1889,Lesotho,
1890,Lesotho,
1890,Lesotho,
1891,Lesotho,
1891,Lesotho,
1892,Lesotho,
1892,Lesotho,
1893,Lesotho,
1893,Lesotho,
1894,Lesotho,
1894,Lesotho,
1895,Lesotho,
1895,Lesotho,
1896,Lesotho,
1896,Lesotho,
1897,Lesotho,
1897,Lesotho,
1898,Lesotho,
1898,Lesotho,
1899,Lesotho,
1899,Lesotho,
1900,Lesotho,
1900,Lesotho,
1901,Lesotho,
1901,Lesotho,
1902,Lesotho,
1902,Lesotho,
1903,Lesotho,
1903,Lesotho,
1904,Lesotho,
1904,Lesotho,
1905,Lesotho,
1905,Lesotho,
1906,Lesotho,
1906,Lesotho,
1907,Lesotho,
1907,Lesotho,
1908,Lesotho,
1908,Lesotho,
1909,Lesotho,
1909,Lesotho,
1910,Lesotho,
1910,Lesotho,
1911,Lesotho,
1911,Lesotho,
1912,Lesotho,
1912,Lesotho,
1913,Lesotho,
1913,Lesotho,
1914,Lesotho,
1914,Lesotho,
1915,Lesotho,
1915,Lesotho,
1916,Lesotho,
1916,Lesotho,
1917,Lesotho,
1917,Lesotho,
1918,Lesotho,
1918,Lesotho,
1919,Lesotho,
1919,Lesotho,
1920,Lesotho,
1920,Lesotho,
1921,Lesotho,
1921,Lesotho,
1922,Lesotho,
1922,Lesotho,
1923,Lesotho,
1923,Lesotho,
1924,Lesotho,
1924,Lesotho,
1925,Lesotho,
1925,Lesotho,
1926,Lesotho,
1926,Lesotho,
1927,Lesotho,
1927,Lesotho,
1928,Lesotho,
1928,Lesotho,
1929,Lesotho,
1929,Lesotho,
1930,Lesotho,
1930,Lesotho,
1931,Lesotho,
1931,Lesotho,
1932,Lesotho,
1932,Lesotho,
1933,Lesotho,
1933,Lesotho,
1934,Lesotho,
1934,Lesotho,
1935,Lesotho,
1935,Lesotho,
1936,Lesotho,
1936,Lesotho,
1937,Lesotho,
1937,Lesotho,
1938,Lesotho,
1938,Lesotho,
1939,Lesotho,
1939,Lesotho,
1940,Lesotho,
1940,Lesotho,
1941,Lesotho,
1941,Lesotho,
1942,Lesotho,
1942,Lesotho,
1943,Lesotho,
1943,Lesotho,
1944,Lesotho,
1944,Lesotho,
1945,Lesotho,
1945,Lesotho,
1946,Lesotho,
1946,Lesotho,
1947,Lesotho,
1947,Lesotho,
1948,Lesotho,
1948,Lesotho,
1949,Lesotho,
1949,Lesotho,
1950,Lesotho,
1950,Lesotho,
1951,Lesotho,
1951,Lesotho,
1952,Lesotho,
1952,Lesotho,
1953,Lesotho,
1953,Lesotho,
1954,Lesotho,
